#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.460016   -0.460016           0
           2   -0.460208   -0.460112 6.78823e-05
           3    -0.46404   -0.461421  0.00107002
           4   -0.460984   -0.461312 0.000808084
           5   -0.460792   -0.461208 0.000653125
           6    -0.46088   -0.461153 0.000546554
           7   -0.461488   -0.461201 0.000470561
           8   -0.463408   -0.461477 0.000485918
           9    -0.46152   -0.461482  0.00043195
          10     -0.4626   -0.461594 0.000402969
          11   -0.460568     -0.4615 0.000376968
          12   -0.462512   -0.461585 0.000354855
          13   -0.459088   -0.461393 0.000375954
          14   -0.461376   -0.461391 0.000349102
          15   -0.462864    -0.46149 0.000339351
          16   -0.460056     -0.4614 0.000329758
          17   -0.462904   -0.461488  0.00032201
          18   -0.462624   -0.461552 0.000310238
          19   -0.462088    -0.46158 0.000295192
          20   -0.459688   -0.461485 0.000295199
