#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.195664    0.422932           0
           2    0.197631    0.424083    0.211481
           3    0.204048    0.427957    0.174275
           4    0.200088    0.428118    0.150995
           5    0.192988    0.426646     0.13456
           6    0.197174    0.426431    0.122774
           7     0.19882    0.426612    0.113717
           8    0.196431    0.426647    0.106374
           9    0.199907    0.426897    0.100354
          10    0.194584    0.426623   0.0951354
          11    0.197872     0.42655   0.0906945
          12    0.197361    0.426593   0.0868409
          13    0.193958    0.426104   0.0833363
          14    0.193312    0.425786   0.0802405
          15    0.193273    0.425598   0.0774809
          16     0.19738     0.42555   0.0750136
          17    0.191851     0.42531   0.0727278
          18    0.194754    0.425257    0.070668
          19     0.19623    0.425268   0.0687846
          20    0.196587    0.425186   0.0670312
