#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.33615     1.33615           0
           2     1.31268     1.32441  0.00829861
           3     1.33379     1.32754  0.00609256
           4     1.37774     1.34009   0.0117906
           5     1.34507     1.34108  0.00947448
           6     1.39543     1.35014   0.0114324
           7      1.3767     1.35394   0.0104099
           8     1.33646     1.35175   0.0093351
           9      1.3533     1.35192  0.00829944
          10     1.32991     1.34972  0.00775589
          11     1.38347     1.35279   0.0076336
          12     1.39229     1.35608  0.00767447
          13     1.37518     1.35755  0.00722343
          14     1.37634     1.35889    0.006831
          15     1.34006     1.35764  0.00648996
          16     1.32288     1.35547  0.00643766
          17     1.39941     1.35805  0.00655741
          18     1.35521     1.35789    0.006195
          19     1.38529     1.35933  0.00603441
          20     1.35784     1.35926  0.00573315
