#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.33093     1.33093           0
           2     1.41506     1.37299   0.0297452
           3     1.40506     1.38368   0.0216652
           4     1.37202     1.38077   0.0164438
           5     1.37782     1.38018   0.0131656
           6     1.37864     1.37992   0.0109738
           7     1.33834     1.37398   0.0108956
           8     1.37587     1.37422   0.0095362
           9     1.30967     1.36705   0.0108433
          10     1.34944     1.36529  0.00990081
          11     1.38047     1.36667  0.00909644
          12     1.40423      1.3698  0.00886073
          13     1.39812     1.37197  0.00844269
          14     1.38131     1.37264  0.00786592
          15     1.35664     1.37157  0.00741354
          16     1.32522     1.36868  0.00749502
          17     1.37318     1.36894  0.00705882
          18     1.39597     1.37044  0.00682452
          19     1.32914     1.36827  0.00680276
          20     1.35159     1.36744  0.00651353
