#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.191475    0.418818           0
           2    0.196928    0.422694     0.21064
           3    0.200857     0.42519    0.173065
           4    0.197774    0.425163     0.14989
           5    0.199083     0.42562    0.134223
           6    0.199075    0.426304    0.122725
           7    0.196983    0.426323    0.113624
           8    0.196566    0.426352    0.106289
           9    0.200223    0.426624    0.100281
          10    0.195641     0.42668   0.0951396
          11    0.198949    0.426995   0.0907787
          12    0.196885    0.427118   0.0869357
          13    0.197058    0.426957    0.083495
          14    0.198531     0.42705   0.0804763
          15    0.193676    0.426792   0.0776964
          16    0.200305    0.426879   0.0752484
          17    0.195382    0.426787   0.0729839
          18    0.195617    0.426762   0.0709213
          19    0.194419    0.426631   0.0690063
          20    0.197751    0.426634   0.0672604
