#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.460462   -0.460462           0
           2    -0.46248   -0.461471 0.000713527
           3   -0.461796   -0.461579 0.000483863
           4   -0.459874   -0.461153 0.000517676
           5   -0.460909   -0.461104 0.000416436
           6   -0.463383   -0.461484 0.000490558
           7   -0.462273   -0.461597 0.000433221
           8   -0.462883   -0.461758 0.000407818
           9   -0.461044   -0.461678 0.000370142
          10   -0.464644   -0.461975 0.000436046
          11   -0.463978   -0.462157 0.000432746
          12   -0.464583   -0.462359 0.000441402
          13   -0.460661   -0.462229 0.000426335
          14   -0.462427   -0.462243 0.000396118
          15   -0.462609   -0.462267 0.000370463
          16   -0.460281   -0.462143  0.00036751
          17   -0.462921   -0.462189 0.000348728
          18   -0.463755   -0.462276 0.000340031
          19    -0.46293    -0.46231 0.000323873
          20   -0.461658   -0.462278 0.000309317
