#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.026296    0.026296           0
           2    0.036004     0.03115   0.0034323
           3    0.023424   0.0285747  0.00310764
           4    0.032916     0.02966  0.00251312
           5    0.035856   0.0308992  0.00229577
           6    0.033164   0.0312767  0.00194393
           7     0.02604   0.0305286  0.00180444
           8     0.02496   0.0298325  0.00170787
           9     0.01538   0.0282267  0.00214402
          10    0.028204   0.0282244  0.00192962
          11    0.034076   0.0287564  0.00182606
          12    0.030768    0.028924  0.00168156
          13     0.03186   0.0291498   0.0015673
          14    0.021756   0.0286217  0.00154177
          15     0.02646   0.0284776   0.0014457
          16    0.032472   0.0287272  0.00137673
          17    0.029644   0.0287812  0.00129681
          18    0.020132   0.0283007  0.00131076
          19    0.031292   0.0284581   0.0012512
          20    0.028896     0.02848  0.00118883
