#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.56479     2.56479           0
           2     2.41396     2.48937   0.0533272
           3     2.46475     2.48117   0.0361775
           4     2.81404     2.56439   0.0770083
           5     2.44503     2.54051   0.0652015
           6     2.61206     2.55244   0.0554142
           7     2.66685     2.56878     0.04985
           8     2.56427     2.56822    0.043622
           9     2.62825     2.57489   0.0392817
          10     2.77053     2.59445   0.0399293
          11     2.50004     2.58587   0.0372103
          12     2.62854     2.58943    0.034279
          13     2.73195     2.60039   0.0333492
          14     2.58114     2.59901   0.0309954
          15     2.65289     2.60261   0.0291365
          16     2.45991     2.59369   0.0286479
          17     2.64137     2.59649   0.0270997
          18         2.5     2.59113   0.0261189
          19     2.77429     2.60077   0.0264635
          20     2.52428     2.59695   0.0254152
