#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.58418    -0.58418           0
           2   -0.584933   -0.584557 0.000266183
           3   -0.583004   -0.584039 0.000458454
           4    -0.58843   -0.585137  0.00101097
           5   -0.578805   -0.583871  0.00139185
           6   -0.584067   -0.583903  0.00116026
           7   -0.584547   -0.583995  0.00099815
           8   -0.584472   -0.584055 0.000875155
           9   -0.581638   -0.583786 0.000818084
          10   -0.584034   -0.583811  0.00073665
          11   -0.584661   -0.583888  0.00067372
          12   -0.585007   -0.583982 0.000623994
          13   -0.584768   -0.584042 0.000578919
          14   -0.584538   -0.584077 0.000538651
          15     -0.5837   -0.584052 0.000503328
          16   -0.581181   -0.583873 0.000502854
          17     -0.5873   -0.584074 0.000512087
          18   -0.579496    -0.58382 0.000543154
          19   -0.587266   -0.584001 0.000544002
          20    -0.58579   -0.584091 0.000524102
