#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.419448     0.99866           0
           2    0.403627    0.995142    0.490035
           3    0.417549     0.99824    0.401468
           4    0.402329    0.996862    0.346918
           5    0.429575    0.998325    0.311079
           6    0.411575    0.998539    0.283985
           7    0.417276    0.999149    0.263103
           8    0.407371    0.999534    0.246113
           9    0.431382     1.00055    0.232395
          10    0.406304     0.99969    0.220237
          11     0.40667    0.999554     0.20991
          12    0.420755     1.00067    0.201206
          13    0.410919     1.00045    0.193259
          14    0.413457     1.00053     0.18624
          15    0.424604     1.00096    0.180036
          16    0.423574     1.00142     0.17442
          17    0.435069     1.00333    0.169553
          18    0.423104     1.00352    0.164824
          19     0.44785      1.0056    0.160796
          20    0.407485     1.00492    0.156604
