#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.05524     7.05524           0
           2     6.96584     7.01054   0.0316077
           3      7.5562     7.19243    0.149997
           4     7.92542     7.37567    0.194526
           5     7.35737     7.37201    0.155655
           6     6.95914      7.3032    0.144122
           7     7.24078     7.29428    0.123809
           8     7.05122      7.2639    0.111999
           9     7.30816     7.26882   0.0996626
          10     7.11443     7.25338   0.0908843
          11     7.80364      7.3034   0.0954007
          12     6.62265     7.24667    0.102945
          13     7.76276     7.28637    0.102395
          14     7.00976     7.26661   0.0969686
          15     6.76026     7.23286   0.0962005
          16      7.3567      7.2406   0.0904988
          17     8.77761     7.33101    0.122264
          18     7.48454     7.33954    0.115768
          19     8.31698     7.39098    0.120565
          20     7.40758     7.39181    0.114539
