#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.755528   -0.755528           0
           2   -0.761528   -0.758528  0.00212132
           3   -0.760616   -0.759224  0.00152412
           4    -0.76312   -0.760198  0.00142062
           5   -0.752336   -0.758626   0.0018082
           6   -0.761448   -0.759096  0.00156682
           7   -0.759728   -0.759186  0.00134559
           8   -0.765968   -0.760034  0.00141952
           9   -0.754104   -0.759375  0.00140642
          10   -0.759944   -0.759432  0.00126693
          11     -0.7638   -0.759829  0.00121239
          12   -0.764032   -0.760179  0.00116085
          13   -0.760704    -0.76022  0.00107225
          14   -0.761488    -0.76031 0.000999482
          15   -0.757584   -0.760129 0.000949231
          16   -0.759088   -0.760064 0.000892129
          17    -0.76824   -0.760544 0.000960593
          18     -0.7584   -0.760425 0.000914585
          19    -0.76564     -0.7607 0.000906695
          20    -0.75916   -0.760623 0.000864622
