#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.363184    0.818663           0
           2     0.36014    0.818296    0.406381
           3    0.366554    0.819462    0.332384
           4    0.355238    0.817651    0.287114
           5    0.378021    0.818842    0.257356
           6    0.358305    0.817772    0.234591
           7    0.351964    0.816221    0.216717
           8    0.368231    0.817341    0.203016
           9    0.372747    0.818632    0.191736
          10    0.368498     0.81917    0.182029
          11    0.360377    0.819239    0.173555
          12     0.36026    0.819293    0.166163
          13    0.367603    0.819966    0.159776
          14    0.377175    0.821077     0.15419
          15    0.370419     0.82131    0.149016
          16    0.361904    0.820912    0.144213
          17    0.354032    0.820418    0.139806
          18    0.354864    0.819696    0.135739
          19    0.363892    0.819625    0.132109
          20    0.375929    0.820464    0.128903
