#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.88181     3.88181           0
           2     3.67199      3.7769    0.074184
           3     4.08787     3.88055   0.0980248
           4     4.20588     3.96188    0.101813
           5     3.90723     3.95095   0.0820354
           6     4.23455     3.99822    0.080841
           7     4.19568     4.02643   0.0740504
           8     3.98602     4.02138   0.0649662
           9     4.30182     4.05254   0.0647909
          10     4.29194     4.07648   0.0625787
          11     3.88668     4.05922   0.0592208
          12     4.33661     4.08234   0.0586239
          13     4.48121     4.11302   0.0616227
          14     4.27903     4.12488   0.0583507
          15     3.93005     4.11189   0.0558876
          16      4.1764     4.11592   0.0525399
          17     4.24916     4.12376   0.0500304
          18     4.28957     4.13297   0.0480916
          19     4.01501     4.12676   0.0459594
          20     4.20324     4.13059   0.0438203
