#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.66643    -0.66643           0
           2   -0.668233   -0.667332 0.000637273
           3   -0.666173   -0.666945 0.000529123
           4   -0.667741   -0.667144 0.000432621
           5   -0.658614   -0.665438  0.00156464
           6   -0.665523   -0.665452  0.00130393
           7   -0.666295   -0.665573   0.0011232
           8   -0.667419   -0.665804  0.00100623
           9   -0.666752   -0.665909 0.000899934
          10   -0.666335   -0.665952 0.000810949
          11   -0.669543   -0.666278 0.000800272
          12   -0.669602   -0.666555 0.000780037
          13   -0.670042   -0.666823 0.000764774
          14   -0.668246   -0.666925 0.000716869
          15   -0.665261   -0.666814 0.000677602
          16   -0.664627   -0.666677 0.000648894
          17   -0.668901   -0.666808 0.000623768
          18    -0.66443   -0.666676 0.000602947
          19   -0.665641   -0.666622 0.000573668
          20   -0.669875   -0.666784 0.000567587
