#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.099916    0.099916           0
           2     0.05524    0.077578   0.0157954
           3    0.074236    0.076464   0.0105694
           4    0.073048     0.07561  0.00796151
           5    0.057512   0.0719904  0.00714479
           6    0.082548     0.07375  0.00616686
           7    0.081556   0.0748651  0.00538576
           8    0.068552    0.074076  0.00477001
           9    0.076812     0.07438  0.00424968
          10    0.078752   0.0748172  0.00384714
          11    0.089972   0.0761949  0.00373595
          12     0.09808   0.0780187  0.00384408
          13    0.116524   0.0809806  0.00454855
          14    0.082712   0.0811043  0.00422533
          15    0.090672   0.0817421   0.0039915
          16    0.068144   0.0808923  0.00383144
          17    0.073852   0.0804781  0.00362837
          18    0.091488   0.0810898  0.00347797
          19    0.085652   0.0813299   0.0033032
          20    0.077372    0.081132  0.00314396
