#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.295613    0.649052           0
           2    0.293582     0.64754    0.322452
           3    0.299442    0.649254    0.264036
           4    0.296513     0.64969    0.228808
           5     0.29745    0.650199    0.204813
           6    0.310332    0.652364    0.187644
           7    0.296109    0.652029    0.173626
           8    0.285731    0.650512    0.161991
           9     0.29524    0.650544    0.152727
          10    0.300571    0.650832    0.144965
          11    0.295371    0.651012    0.138249
          12    0.300676    0.651257     0.13242
          13    0.300191    0.651349     0.12725
          14     0.29119    0.650916    0.122531
          15    0.306587    0.651718     0.11853
          16    0.293439     0.65154     0.11473
          17    0.294499    0.651492    0.111292
          18    0.295952    0.651292    0.108124
          19    0.294795    0.651169    0.105219
          20    0.291136    0.650868    0.102503
