#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.57942     2.57942           0
           2     2.54973     2.56458   0.0104954
           3     2.52544     2.55153    0.012744
           4     2.56012     2.55368  0.00973715
           5     2.72478      2.5879   0.0315832
           6     2.63569     2.59586   0.0273054
           7     2.56972     2.59213   0.0236586
           8     2.62731     2.59653   0.0211059
           9     2.58288     2.59501   0.0188152
          10     2.55157     2.59067    0.017428
          11     2.70023     2.60063   0.0184721
          12     2.58304     2.59916   0.0169908
          13     2.54899      2.5953   0.0161161
          14     2.65405      2.5995   0.0155017
          15     2.69421     2.60581   0.0157017
          16     2.59706     2.60527   0.0147299
          17     2.50192     2.59919   0.0150657
          18     2.48545     2.59287   0.0154974
          19     2.63926     2.59531   0.0148729
          20     2.49225     2.59016   0.0149953
