#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583212   -0.583212           0
           2   -0.582439   -0.582826 0.000273396
           3   -0.582895   -0.582849 0.000183228
           4   -0.584073   -0.583155 0.000298587
           5   -0.584294   -0.583383  0.00031401
           6   -0.582143   -0.583176 0.000322536
           7   -0.583597   -0.583236 0.000282008
           8   -0.584215   -0.583358 0.000272012
           9   -0.585042   -0.583546 0.000299297
          10   -0.582512   -0.583442 0.000286657
          11   -0.586651   -0.583734 0.000381112
          12   -0.582875   -0.583662 0.000356009
          13   -0.582018   -0.583536 0.000350368
          14   -0.583947   -0.583565 0.000326571
          15   -0.585297   -0.583681 0.000324556
          16   -0.584998   -0.583763 0.000314541
          17   -0.585641   -0.583873 0.000314847
          18   -0.581915   -0.583765 0.000315597
          19   -0.583854   -0.583769 0.000299021
          20   -0.583875   -0.583775 0.000284117
