#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.047812    0.047812           0
           2    0.052348     0.05008  0.00160372
           3    0.059928   0.0533627  0.00288566
           4    0.047248    0.051834  0.00253704
           5    0.059904    0.053448  0.00249066
           6     0.03956   0.0511333  0.00296187
           7    0.035844   0.0489491  0.00324567
           8    0.043552   0.0482745  0.00290923
           9     0.05532   0.0490573  0.00268925
          10    0.057604    0.049912  0.00255252
          11    0.056128   0.0504771   0.0023822
          12    0.046952   0.0501833  0.00220173
          13    0.060512   0.0509778  0.00217099
          14    0.064556   0.0519477  0.00222202
          15    0.050428   0.0518464  0.00207619
          16      0.0467   0.0515247  0.00197119
          17    0.044864   0.0511329  0.00189378
          18    0.044948   0.0507893  0.00181947
          19    0.065088   0.0515419  0.00187289
          20    0.040172   0.0509734  0.00186353
