#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.402141      1.3453           0
           2     0.35348     1.32173    0.596932
           3    0.311812     1.30215    0.473309
           4    0.268535     1.28408    0.397537
           5    0.331656     1.28372    0.355479
           6    0.347718     1.28538    0.325614
           7    0.278072     1.27837    0.297875
           8    0.312356     1.27695     0.27794
           9    0.331504     1.27743     0.26232
          10    0.370588     1.28079    0.250394
          11    0.302635     1.27857     0.23787
          12    0.331653     1.27835    0.227803
          13    0.292009     1.27604    0.217985
          14    0.354988     1.27752    0.210668
          15    0.337616     1.27784    0.203705
          16    0.241792     1.27343    0.195644
          17    0.337367     1.27392    0.190028
          18    0.374727     1.27605    0.185402
          19    0.338273     1.27625    0.180597
          20    0.282788     1.27434     0.17545
