#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.970128   -0.970128           0
           2    -0.97104   -0.970584 0.000322441
           3   -0.974488   -0.971885  0.00108406
           4   -0.979792   -0.973862  0.00189511
           5   -0.974152    -0.97392  0.00151698
           6   -0.971688   -0.973548  0.00130896
           7     -0.9782   -0.974213   0.0012796
           8   -0.976272    -0.97447  0.00114525
           9    -0.97372   -0.974387  0.00102103
          10   -0.968792   -0.973827  0.00106119
          11   -0.975792   -0.974006 0.000979637
          12    -0.97088   -0.973745 0.000931989
          13   -0.977208   -0.974012 0.000897553
          14   -0.969488   -0.973689 0.000889705
          15   -0.971096   -0.973516 0.000847013
          16    -0.98204   -0.974049 0.000946919
          17    -0.97092   -0.973864 0.000908924
          18   -0.967264   -0.973498 0.000929459
          19    -0.96944   -0.973284 0.000904743
          20    -0.97668   -0.973454 0.000875293
