#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     75.8668     75.8668           0
           2     75.8321     75.8495   0.0122584
           3     80.1798     77.2929     1.17859
           4     85.1963     79.2688     1.92597
           5     79.4957     79.3141     1.54131
           6     76.4844     78.8425     1.35466
           7     82.1817     79.3195     1.24229
           8     80.9754     79.5265     1.10411
           9     79.0995     79.4791    0.982452
          10     72.7373     78.8049     1.09128
          11     80.5048     78.9594     1.00295
          12     75.5701      78.677     0.95832
          13     80.8054     78.8407     0.89848
          14     73.4017     78.4522    0.914445
          15     74.8076     78.2092    0.885174
          16     86.3324     78.7169    0.964522
          17     74.8831     78.4914    0.933778
          18     72.7894     78.1746     0.93409
          19     74.3751     77.9747     0.90608
          20      80.409     78.0964    0.868913
