#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.97064     0.97064           0
           2     0.89174     0.93119   0.0278954
           3    0.898468    0.920283   0.0206194
           4    0.932968    0.923454   0.0157065
           5    0.951908    0.929145    0.013557
           6    0.970588    0.936052    0.012938
           7    0.823196     0.91993   0.0185951
           8    0.849268    0.911097   0.0182483
           9    0.632572     0.88015    0.033383
          10    0.969256     0.88906   0.0312113
          11    0.972264    0.896624   0.0292761
          12    0.803252    0.888843   0.0278513
          13     0.84016    0.885098   0.0259594
          14    0.961056    0.890524   0.0246656
          15     0.96986    0.895813   0.0235815
          16    0.930408    0.897975   0.0222066
          17    0.873996    0.896565    0.020945
          18     0.98144     0.90128   0.0203053
          19    0.953192    0.904012   0.0194195
          20    0.940188    0.905821   0.0185326
