#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.01361    -1.01361           0
           2   -0.999731    -1.00667  0.00490803
           3   -0.999721    -1.00435  0.00377949
           4    -1.00656    -1.00491  0.00287466
           5     -1.0075    -1.00543  0.00234611
           6     -1.0108    -1.00632  0.00211939
           7    -1.00026    -1.00546  0.00198592
           8   -0.999345    -1.00469  0.00187883
           9    -1.00306    -1.00451   0.0016788
          10    -1.00966    -1.00503  0.00158785
          11    -1.01277    -1.00573  0.00159179
          12   -0.997985    -1.00508  0.00158456
          13    -1.00442    -1.00503  0.00146349
          14    -1.00901    -1.00532   0.0013863
          15    -1.01158    -1.00573  0.00135533
          16     -1.0059    -1.00575  0.00127066
          17     -1.0011    -1.00547   0.0012249
          18    -1.01276    -1.00588  0.00122188
          19    -1.00866    -1.00602  0.00116629
          20    -1.00334    -1.00589  0.00111567
