#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     96.8038     96.8038           0
           2     86.7544     91.7791     3.55297
           3     87.1853     90.2478     2.67838
           4     92.3151     90.7647     2.05804
           5     92.9009     91.1919      1.6902
           6     95.5533     91.9188     1.55698
           7     87.5648     91.2968     1.45349
           8     87.7549     90.8541     1.33754
           9     94.0783     91.2123     1.23597
          10     95.0429     91.5954     1.17023
          11     96.2627     92.0197     1.13817
          12     86.5689     91.5654     1.13033
          13     92.1046     91.6069     1.04414
          14     94.1402     91.7879    0.985117
          15     95.3776     92.0272    0.948065
          16     91.8374     92.0153    0.888885
          17     86.9704     91.7186     0.88475
          18     97.0147     92.0128    0.883167
          19     94.1598     92.1258    0.843883
          20     91.1067     92.0748    0.803226
