#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.133581     1.16166           0
           2    0.312346     1.23751    0.471298
           3     0.30353     1.25984    0.407313
           4     0.21238     1.25153    0.346691
           5    0.211667     1.24678    0.306778
           6    0.157237     1.23561    0.272368
           7    0.295667     1.24447    0.257929
           8    0.312269     1.25298    0.246237
           9    0.197095     1.24756    0.229744
          10    0.157371     1.24056    0.214291
          11    0.122021     1.23218    0.199892
          12    0.328165     1.23998    0.195105
          13    0.247618     1.24134    0.188131
          14    0.178962     1.23824    0.179915
          15    0.143135      1.2335    0.171696
          16    0.228198     1.23398    0.166479
          17     0.30634     1.23846    0.163278
          18    0.123831     1.23355    0.156657
          19    0.195985     1.23254    0.152089
          20    0.269021     1.23477    0.149087
