#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.333468   -0.333468           0
           2   -0.333528   -0.333498 2.13794e-05
           3   -0.346696   -0.337897  0.00359206
           4   -0.344068    -0.33944  0.00300714
           5    -0.38575   -0.348702  0.00862637
           6   -0.367551   -0.351844  0.00773956
           7   -0.378682   -0.355678  0.00752387
           8    -0.35993   -0.356209  0.00660213
           9   -0.351167   -0.355649  0.00589229
          10   -0.393506   -0.359435  0.00640476
          11   -0.353619   -0.358906  0.00584429
          12   -0.425307   -0.364439  0.00753441
          13   -0.411941   -0.368093  0.00779065
          14   -0.391337   -0.369754  0.00740897
          15   -0.364687   -0.369416  0.00692274
          16   -0.404027   -0.371579  0.00681968
          17   -0.355841   -0.370653  0.00648105
          18   -0.429915   -0.373946  0.00690679
          19   -0.417367   -0.376231  0.00691103
          20   -0.460274   -0.380433  0.00773825
