#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.93008     1.93008           0
           2      1.9302     1.93014 4.43907e-05
           3     1.94334     1.93454  0.00359291
           4     1.94071     1.93608  0.00300768
           5     1.98238     1.94534  0.00862391
           6     1.96413     1.94847  0.00773434
           7     1.97541     1.95232  0.00752624
           8     1.95653     1.95285  0.00660382
           9     1.94781     1.95229  0.00589376
          10     1.99004     1.95606  0.00640046
          11     1.95013     1.95552  0.00584125
          12     2.02184     1.96105  0.00752789
          13     2.00841     1.96469  0.00778046
          14     1.98797     1.96636  0.00740021
          15     1.96133     1.96602  0.00691445
          16     2.00076     1.96819  0.00681469
          17     1.95253     1.96727  0.00647581
          18     2.02636     1.97055  0.00689807
          19     2.01399     1.97284  0.00690342
          20     2.05682     1.97704  0.00773045
