#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.665174   -0.665174           0
           2   -0.664982   -0.665078 6.77974e-05
           3   -0.664811   -0.664989 8.56887e-05
           4   -0.666154    -0.66528 0.000260347
           5   -0.667746   -0.665774  0.00048777
           6   -0.663809   -0.665446  0.00050456
           7   -0.662767   -0.665063 0.000559092
           8   -0.667188   -0.665329 0.000548663
           9   -0.667204   -0.665537 0.000525776
          10   -0.665955   -0.665579 0.000474854
          11   -0.667989   -0.665798 0.000479571
          12   -0.667108   -0.665907 0.000451852
          13   -0.665087   -0.665844 0.000421478
          14   -0.665627   -0.665829 0.000391658
          15   -0.666505   -0.665874 0.000368134
          16   -0.668029   -0.666008 0.000368945
          17   -0.667794   -0.666113 0.000361887
          18   -0.667132    -0.66617 0.000346173
          19   -0.667836   -0.666258  0.00033888
          20   -0.665463   -0.666218 0.000324257
