#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.382857    0.837278           0
           2    0.353566    0.822047    0.408657
           3    0.367945    0.821837    0.333617
           4    0.371414    0.823073     0.28939
           5    0.370669    0.824086    0.259158
           6    0.366235    0.823125    0.236301
           7     0.37228    0.823132    0.218805
           8    0.355245    0.821677    0.204249
           9    0.365637    0.821738    0.192573
          10    0.356001    0.820626    0.182412
          11    0.371893    0.821453    0.174106
          12    0.365403    0.821487    0.166697
          13    0.372402    0.821863    0.160243
          14    0.358903    0.821243    0.154285
          15    0.372804    0.821739    0.149152
          16    0.360764    0.821524    0.144367
          17    0.362957    0.821449    0.140038
          18    0.370252    0.821751    0.136146
          19    0.368074    0.821953    0.132548
          20    0.351445    0.821118    0.129045
