#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.16342     4.16342           0
           2     3.93023     4.04683   0.0824475
           3     3.93812     4.01059    0.062422
           4     4.09436     4.03153    0.050207
           5      4.1129     4.04781   0.0427213
           6     4.08984     4.05481   0.0361711
           7     4.16321      4.0703   0.0341579
           8     4.02836     4.06505   0.0302878
           9     4.22862     4.08323   0.0319126
          10     3.86863     4.06177   0.0352051
          11     4.25612     4.07944   0.0361676
          12     4.15127     4.08542   0.0336453
          13     3.92882     4.07338   0.0331437
          14     3.99391      4.0677   0.0312586
          15     3.85658     4.05363   0.0321879
          16     4.09364     4.05613   0.0302731
          17     4.11844     4.05979   0.0287135
          18     4.08219     4.06104   0.0271452
          19     4.19884     4.06829   0.0266678
          20     3.93276     4.06151   0.0261813
