#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.241269    0.525218           0
           2    0.240922    0.523417    0.260893
           3    0.238574    0.522398    0.212579
           4    0.248761     0.52546    0.185207
           5    0.239636      0.5244    0.165318
           6        0.24    0.523778    0.150736
           7     0.23334    0.522739    0.139245
           8    0.246655    0.523566    0.130473
           9     0.23963    0.522692    0.122814
          10    0.241803    0.523056     0.11659
          11     0.24187    0.522898    0.111136
          12    0.241677    0.522912     0.10641
          13    0.244467    0.523269    0.102308
          14    0.243475    0.523319   0.0985997
          15    0.238402    0.523068   0.0952081
          16    0.238749    0.522806   0.0921377
          17    0.244117    0.523268   0.0894644
          18    0.235812    0.522781   0.0868602
          19    0.239279    0.522924   0.0845626
          20    0.249245     0.52344   0.0825063
