#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.05202     0.05202           0
           2    0.029752    0.040886  0.00787293
           3    0.035984    0.039252  0.00541553
           4    0.038324     0.03902  0.00406661
           5    0.037076   0.0386312  0.00327182
           6     0.03966   0.0388027  0.00273101
           7    0.030416   0.0376046  0.00259037
           8    0.035892   0.0373905   0.0022754
           9    0.033812   0.0369929  0.00205703
          10    0.044872   0.0377808  0.00199653
          11     0.03532   0.0375571  0.00182752
          12     0.04452   0.0381373  0.00176494
          13    0.045168   0.0386782  0.00171003
          14    0.029104   0.0379943   0.0017192
          15    0.037716   0.0379757  0.00160468
          16    0.035656   0.0378307  0.00151093
          17    0.036076   0.0377275  0.00142557
          18    0.029224   0.0372551   0.0014225
          19    0.043436   0.0375804  0.00138433
          20     0.04448   0.0379254  0.00135741
