#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.85801     1.85801           0
           2      1.7107     1.78435   0.0520802
           3     1.81335     1.79402   0.0356056
           4     1.91779     1.82496   0.0378316
           5      1.8615     1.83227    0.030963
           6     1.76937     1.82179   0.0275202
           7     1.81543     1.82088   0.0236037
           8     1.72447     1.80883   0.0235295
           9     1.84552      1.8129   0.0212654
          10     1.88229     1.81984   0.0202391
          11     1.70285     1.80921   0.0210087
          12     1.79331     1.80788   0.0192997
          13      1.8194     1.80877   0.0178355
          14     1.77971     1.80669   0.0166818
          15     1.88515     1.81192   0.0163692
          16     1.69608     1.80468   0.0168714
          17     1.85625     1.80772   0.0161494
          18     1.69578      1.8015   0.0164059
          19     1.98727     1.81127   0.0182245
          20     1.79622     1.81052   0.0173288
