#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.518816   -0.518816           0
           2   -0.515691   -0.517254  0.00110498
           3   -0.516888   -0.517132  0.00074336
           4   -0.520238   -0.517908 0.000873652
           5   -0.515606   -0.517448 0.000811293
           6   -0.515721    -0.51716 0.000725321
           7   -0.518528   -0.517356 0.000647506
           8   -0.517294   -0.517348 0.000566614
           9   -0.511268   -0.516672  0.00081196
          10   -0.519345    -0.51694 0.000773516
          11   -0.514426   -0.516711 0.000736166
          12   -0.516314   -0.516678 0.000675561
          13   -0.517791   -0.516764 0.000628999
          14    -0.51535   -0.516663  0.00059212
          15   -0.516282   -0.516637 0.000553188
          16   -0.515273   -0.516552 0.000525144
          17   -0.521154   -0.516823 0.000559678
          18    -0.51404   -0.516668 0.000549515
          19   -0.521117   -0.516902 0.000568287
          20   -0.518394   -0.516977 0.000544742
