#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.98772     3.98772           0
           2     4.04261     4.01517   0.0194053
           3     3.78271     3.93768   0.0645752
           4     3.81023     3.90582   0.0557413
           5     4.02629     3.92991   0.0495274
           6     3.92727     3.92947   0.0412748
           7     3.91082     3.92681   0.0354643
           8     4.28035       3.971   0.0516891
           9     3.96564     3.97041   0.0459493
          10     3.83492     3.95686   0.0433057
          11     3.94196      3.9555   0.0393899
          12      3.8279     3.94487   0.0375154
          13     3.92672     3.94347   0.0346555
          14     3.69992     3.92608   0.0362849
          15     4.03986     3.93366   0.0346498
          16     4.06932     3.94214   0.0335055
          17     3.85729     3.93715   0.0319042
          18     3.93483     3.93702    0.030132
          19     4.30174     3.95622   0.0341169
          20     3.84464     3.95064   0.0328641
