#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.36862    0.824228           0
           2    0.362946    0.818242    0.406808
           3    0.359503    0.814559    0.330619
           4    0.361536     0.81392    0.286083
           5    0.356147    0.813102    0.255549
           6    0.362316    0.813181    0.233312
           7    0.355742    0.811943    0.215656
           8    0.353446    0.811215    0.201511
           9    0.357318    0.810953    0.189916
          10     0.35926    0.810862     0.18015
          11    0.356078    0.811066    0.171789
          12    0.361767    0.811397    0.164545
          13    0.367727    0.812257    0.158268
          14    0.357806    0.812092    0.152476
          15    0.358162    0.812074    0.147298
          16    0.367261    0.812483    0.142703
          17    0.349767    0.812052    0.138351
          18    0.360708    0.811987    0.134446
          19    0.362559    0.812156     0.13089
          20    0.360907     0.81215    0.127577
