#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.6664     -0.6664           0
           2   -0.661792   -0.664096  0.00162917
           3   -0.660648   -0.662947  0.00143537
           4   -0.662696   -0.662884   0.0010779
           5   -0.665248   -0.663357 0.000960428
           6    -0.66328   -0.663344 0.000800442
           7   -0.661552   -0.663088 0.000725877
           8   -0.664552   -0.663271 0.000657806
           9   -0.663608   -0.663308 0.000585781
          10   -0.662992   -0.663277 0.000528057
          11   -0.667752   -0.663684 0.000617186
          12   -0.664808   -0.663777 0.000572822
          13   -0.665856   -0.663937 0.000550624
          14    -0.66404   -0.663945 0.000511342
          15   -0.665192   -0.664028 0.000483968
          16   -0.663232   -0.663978 0.000456268
          17   -0.666672   -0.664136 0.000456119
          18   -0.662504   -0.664046 0.000439704
          19   -0.664304   -0.664059 0.000416771
          20   -0.663208   -0.664017 0.000398101
