#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196234     0.42786           0
           2    0.197818    0.426883    0.212805
           3    0.194189    0.425315    0.173101
           4    0.199541     0.42696    0.150493
           5    0.196378    0.426061    0.134336
           6    0.198108    0.426125    0.122658
           7    0.191941    0.424968    0.113241
           8    0.199607    0.425207    0.105999
           9    0.192499    0.424288   0.0997176
          10    0.194499    0.424414   0.0946207
          11    0.196979    0.424506   0.0902386
          12      0.1944     0.42445    0.086382
          13    0.199453    0.424724   0.0830509
          14    0.200806    0.425134   0.0801107
          15    0.192114    0.424858   0.0773391
          16    0.189078    0.424382   0.0747921
          17    0.192092    0.424317   0.0725427
          18    0.194407    0.424105   0.0704645
          19    0.193465    0.424203   0.0685968
          20    0.199747    0.424503    0.066909
