#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.38043     1.38043           0
           2     1.31028     1.34536   0.0248025
           3     1.36519     1.35197   0.0173937
           4     1.44953     1.37636   0.0248263
           5     1.35699     1.37248    0.020161
           6      1.4032      1.3776   0.0174389
           7     1.34167     1.37247   0.0156849
           8      1.2812     1.36106   0.0173852
           9     1.40422     1.36586   0.0161014
          10     1.37693     1.36696   0.0145293
          11     1.28265      1.3593   0.0150956
          12     1.38836     1.36172   0.0140305
          13     1.33261     1.35948   0.0131286
          14     1.34764     1.35864   0.0122181
          15     1.38404     1.36033   0.0115203
          16     1.30352     1.35678   0.0113342
          17     1.34226     1.35592   0.0106996
          18      1.2782     1.35161   0.0109419
          19     1.47719     1.35822      0.0122
          20     1.33449     1.35703   0.0116476
