#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46468    -0.46468           0
           2    -0.46072     -0.4627  0.00140007
           3   -0.460928   -0.462109  0.00105061
           4   -0.465176   -0.462876   0.0010304
           5   -0.458672   -0.462035  0.00111582
           6    -0.46096   -0.461856  0.00094413
           7   -0.459056   -0.461456 0.000889964
           8    -0.45968   -0.461234 0.000805931
           9   -0.457208   -0.460787 0.000831311
          10   -0.464208   -0.461129 0.000815551
          11   -0.461176   -0.461133 0.000741421
          12   -0.462472   -0.461245  0.00068798
          13   -0.461096   -0.461233 0.000635154
          14    -0.46216   -0.461299 0.000593225
          15    -0.46208   -0.461351 0.000555955
          16    -0.46156   -0.461365  0.00052136
          17    -0.46456   -0.461552 0.000523482
          18   -0.458848   -0.461402 0.000515511
          19   -0.465848   -0.461636 0.000538871
          20   -0.463112    -0.46171 0.000516955
