#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.239682    0.521081           0
           2    0.239325    0.520471    0.259408
           3     0.23743    0.519421    0.211364
           4     0.24688    0.522317    0.184096
           5    0.240247    0.521692    0.164473
           6    0.239515    0.521305    0.150031
           7    0.231899    0.520292    0.138596
           8    0.244488    0.521029     0.12984
           9    0.238044    0.520142    0.122213
          10    0.241767    0.520619    0.116048
          11     0.24482    0.520882    0.110713
          12    0.238525    0.520692     0.10596
          13    0.242187    0.520879    0.101842
          14    0.241862    0.521014   0.0981646
          15    0.236455    0.520624   0.0947626
          16    0.237937    0.520371   0.0917084
          17    0.239794    0.520642   0.0890126
          18    0.237226    0.520371    0.086459
          19     0.23653     0.52045   0.0841601
          20    0.245412    0.520837   0.0820924
