#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.516448   -0.516448           0
           2   -0.515632    -0.51604   0.0002885
           3    -0.51512   -0.515733 0.000315735
           4   -0.518656   -0.516464 0.000675633
           5   -0.514032   -0.515978 0.000693841
           6    -0.51496   -0.515808  0.00059857
           7     -0.5178   -0.516093 0.000576752
           8   -0.516448   -0.516137 0.000506366
           9    -0.51032   -0.515491 0.000757577
          10   -0.518016   -0.515743 0.000722685
          11   -0.513504    -0.51554 0.000685056
          12    -0.51524   -0.515515 0.000628423
          13   -0.515848    -0.51554 0.000580606
          14    -0.51584   -0.515562 0.000539529
          15    -0.51404    -0.51546 0.000513009
          16   -0.513872   -0.515361 0.000490456
          17   -0.520088   -0.515639 0.000534648
          18   -0.513816   -0.515538 0.000514449
          19    -0.52044   -0.515796 0.000548269
          20   -0.517432   -0.515878 0.000526923
