#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.80834     1.80834           0
           2     1.69445      1.7514   0.0402671
           3     1.79607     1.76629   0.0294702
           4     1.88309     1.79549   0.0335868
           5     1.81233     1.79886   0.0270378
           6     1.71856     1.78548   0.0256306
           7     1.78269     1.78508   0.0219722
           8     1.69529     1.77385   0.0219056
           9     1.84862     1.78216   0.0209877
          10     1.81734     1.78568   0.0191816
          11     1.67108     1.77526   0.0200685
          12     1.76937     1.77477   0.0184021
          13     1.76029     1.77366   0.0170202
          14     1.77673     1.77388   0.0158059
          15     1.85573     1.77933   0.0156658
          16     1.66558     1.77222   0.0162199
          17     1.82208     1.77516   0.0155287
          18     1.69847      1.7709   0.0152391
          19     1.96226     1.78097   0.0174508
          20     1.73988     1.77891   0.0166987
