#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.401152    0.401152           0
           2     0.36696    0.384056   0.0120887
           3    0.442988      0.4037   0.0179501
           4      0.3382    0.387325   0.0195537
           5    0.389744    0.387809   0.0156489
           6    0.320412    0.376576   0.0165894
           7    0.501684    0.394449   0.0218172
           8     0.33994    0.387635   0.0201259
           9    0.360168    0.384583   0.0181196
          10     0.36112    0.382237   0.0164589
          11    0.331328    0.377609   0.0155997
          12    0.382748    0.378037   0.0143056
          13    0.355108    0.376273   0.0133135
          14    0.288868     0.37003   0.0137486
          15    0.394864    0.371686   0.0129314
          16     0.35932    0.370913   0.0121462
          17    0.403828    0.372849    0.011585
          18     0.29204     0.36836   0.0117792
          19     0.38982    0.369489   0.0112133
          20    0.415936    0.371811   0.0108904
