#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.554471     1.36275           0
           2    0.522309     1.33944      0.6566
           3    0.506542     1.32856     0.53067
           4     0.46953     1.31009    0.451921
           5    0.529751     1.31552    0.406086
           6    0.485784     1.30766    0.368222
           7    0.573108     1.31918     0.34434
           8    0.465918     1.31153    0.319784
           9    0.489436     1.30802    0.300569
          10    0.513047     1.30733    0.285065
          11    0.471045      1.3035    0.270794
          12    0.509843     1.30375    0.259341
          13    0.509567     1.30306    0.249085
          14    0.479343     1.29985    0.239365
          15    0.525984     1.30132    0.231582
          16    0.520343     1.30207    0.224409
          17    0.484337     1.30089    0.217442
          18    0.497066     1.29942    0.211085
          19    0.496931     1.29886    0.205353
          20    0.490201     1.29813     0.20001
