#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.895567   -0.895567           0
           2   -0.887667   -0.891617  0.00279302
           3   -0.891372   -0.891535  0.00186321
           4   -0.883108   -0.889429  0.00229822
           5   -0.895267   -0.890596   0.0021145
           6    -0.88156    -0.88909  0.00223494
           7   -0.899282   -0.890546  0.00234236
           8   -0.887039   -0.890108  0.00209019
           9   -0.886003   -0.889652  0.00190705
          10   -0.884462   -0.889133  0.00178555
          11   -0.888219    -0.88905  0.00162516
          12   -0.889287   -0.889069  0.00148985
          13   -0.882934   -0.888597  0.00144807
          14   -0.879369   -0.887938  0.00148711
          15   -0.888817   -0.887997  0.00138912
          16   -0.887266   -0.887951  0.00130305
          17   -0.890005   -0.888072  0.00123199
          18   -0.878537   -0.887542  0.00127234
          19   -0.886708   -0.887498  0.00120614
          20   -0.888039   -0.887525  0.00114613
