#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     27.8216     27.8216           0
           2     24.7403      26.281     1.08941
           3     25.5081     26.0234    0.756121
           4     22.8442     25.2286    0.891836
           5     25.9979     25.3824     0.72662
           6     23.0301     24.9904    0.703375
           7     29.7075     25.6642    0.867588
           8     23.7936     25.4304    0.790023
           9       24.32      25.307    0.711811
          10     22.0284     24.9792    0.712145
          11     23.5824     24.8522    0.658629
          12     23.9844     24.7799      0.6077
          13     22.6968     24.6196    0.581696
          14     21.4718     24.3948    0.581982
          15     25.5587     24.4724    0.548332
          16     25.5461     24.5395    0.518151
          17     25.1418     24.5749    0.488881
          18      22.214     24.4438    0.478992
          19     24.9553     24.4707    0.454538
          20     24.0585     24.4501    0.432278
