#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763432   -0.763432           0
           2   -0.758432   -0.760932  0.00176777
           3    -0.76144   -0.761101  0.00118659
           4   -0.763496     -0.7617  0.00102995
           5   -0.761136   -0.761587 0.000830117
           6    -0.76144   -0.761563 0.000692126
           7   -0.759304    -0.76124 0.000664219
           8   -0.766064   -0.761843 0.000809902
           9   -0.760448   -0.761688 0.000734596
          10   -0.764376   -0.761957 0.000708611
          11    -0.76252   -0.762008 0.000646038
          12   -0.759808   -0.761825 0.000617668
          13    -0.76212   -0.761847 0.000570572
          14   -0.762864    -0.76192 0.000534418
          15    -0.76248   -0.761957 0.000500092
          16   -0.761776   -0.761946 0.000468965
          17   -0.763048   -0.762011 0.000445837
          18    -0.76224   -0.762024  0.00042125
          19   -0.764896   -0.762175 0.000425343
          20   -0.762824   -0.762207 0.000405313
