#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.32763     7.32763           0
           2     6.78486     7.05624      0.1919
           3     6.84705     6.98651    0.140031
           4     8.14234     7.27547    0.271388
           5     7.51246     7.32287    0.221211
           6       7.325     7.32322    0.184343
           7     7.08828     7.28966    0.161034
           8     7.45753     7.31064    0.142266
           9     7.93854     7.38041    0.142542
          10     7.79407     7.42178    0.134156
          11     7.48687     7.42769    0.122091
          12     7.48506     7.43247     0.11201
          13     7.66536     7.45039    0.104817
          14     7.77618     7.47366   0.0998796
          15     7.15557     7.45245   0.0954456
          16     7.56989     7.45979    0.089762
          17     8.10916     7.49799   0.0922521
          18     7.44854     7.49524   0.0871679
          19     7.41062     7.49079   0.0826938
          20     7.25342     7.47892   0.0794063
