#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.801656    0.801656           0
           2    0.838236    0.819946    0.012933
           3    0.925852    0.855248   0.0300859
           4    0.948844    0.878647    0.030328
           5    0.833856    0.869689   0.0255512
           6    0.756816    0.850877   0.0273549
           7    0.897916    0.857597   0.0242584
           8    0.732452    0.841954   0.0257811
           9     0.89094    0.847396   0.0234841
          10    0.751572    0.837814   0.0230078
          11    0.901688    0.843621   0.0216365
          12     0.89186    0.847641   0.0202034
          13      0.8026    0.844176   0.0189441
          14    0.960056    0.852453   0.0193147
          15      0.7773    0.847443   0.0186656
          16    0.903864    0.850969    0.017829
          17    0.915492    0.854765   0.0171795
          18    0.727724    0.847707   0.0176153
          19     0.95752    0.853487   0.0176108
          20    0.777744    0.849699   0.0171326
