#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     19.5091     19.5091           0
           2     18.4971     19.0031      0.3578
           3     21.7682     19.9248    0.789449
           4     19.4461     19.8051    0.601089
           5     20.7775     19.9996    0.511366
           6     17.9008     19.6498    0.532507
           7     20.0002     19.6999    0.458782
           8     20.8096     19.8386    0.421883
           9     17.3592     19.5631    0.456169
          10     22.3421      19.841    0.487911
          11     18.7533     19.7421    0.453464
          12     20.8876     19.8376    0.425604
          13     20.4303     19.8832      0.3953
          14     17.8936     19.7411    0.391778
          15     17.4147      19.586    0.395167
          16     21.5216     19.7069    0.388546
          17     18.4515     19.6331    0.372643
          18     20.9801     19.7079    0.359376
          19     17.0799     19.5696    0.366113
          20     18.3536     19.5088     0.35282
