#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.872032   -0.872032           0
           2    -0.87064   -0.871336 0.000492146
           3   -0.874712   -0.872461 0.000975653
           4    -0.87072   -0.872026 0.000823152
           5   -0.875448    -0.87271 0.000899096
           6     -0.8678   -0.871892  0.00105807
           7   -0.872032   -0.871912 0.000907109
           8   -0.872696    -0.87201 0.000798997
           9    -0.86708   -0.871462 0.000878141
          10   -0.872848   -0.871601 0.000801187
          11   -0.874704   -0.871883 0.000776432
          12   -0.871064   -0.871815 0.000714722
          13   -0.872272    -0.87185 0.000660609
          14   -0.869728   -0.871698 0.000630568
          15   -0.866448   -0.871348 0.000678759
          16   -0.873312   -0.871471 0.000647338
          17     -0.8672    -0.87122 0.000656204
          18   -0.870544   -0.871182 0.000620821
          19   -0.863536    -0.87078 0.000706643
          20   -0.869264   -0.870704 0.000675363
