#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435132     1.20047           0
           2    0.405112     1.18408    0.566427
           3    0.457177     1.19853    0.469799
           4    0.433689     1.19808    0.406835
           5    0.454862     1.20374    0.366031
           6    0.417191     1.19894    0.332543
           7    0.459025     1.20261    0.309158
           8    0.424655     1.20117    0.288696
           9    0.444028     1.20113    0.272307
          10    0.482308     1.20598    0.259697
          11    0.393112     1.20204    0.246422
          12    0.448582      1.2029    0.236184
          13    0.462546     1.20488    0.227422
          14    0.429007     1.20383    0.218923
          15      0.4389     1.20322    0.211418
          16    0.416319     1.20199    0.204401
          17    0.409031     1.19986    0.197854
          18    0.478338     1.20217    0.192785
          19    0.434544     1.20128    0.187518
          20    0.433374     1.20091    0.182709
