#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.866736   -0.866736           0
           2    -0.86612   -0.866428 0.000217789
           3   -0.867648   -0.866835 0.000362399
           4   -0.871664   -0.868042  0.00108033
           5   -0.870584    -0.86855 0.000976591
           6   -0.871728    -0.86908 0.000946595
           7   -0.880336   -0.870688  0.00169546
           8     -0.8732   -0.871002  0.00151233
           9    -0.87276   -0.871197  0.00135685
          10   -0.867744   -0.870852  0.00126435
          11   -0.870384   -0.870809  0.00115012
          12   -0.871392   -0.870858   0.0010553
          13   -0.870232    -0.87081 0.000975222
          14   -0.871984   -0.870894 0.000909163
          15     -0.8688   -0.870754   0.0008592
          16     -0.8708   -0.870757 0.000805504
          17   -0.878816   -0.871231 0.000886714
          18   -0.868336    -0.87107 0.000851914
          19   -0.873896   -0.871219 0.000819955
          20    -0.87248   -0.871282 0.000781378
