#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449485     1.20577           0
           2    0.387696       1.174    0.561897
           3    0.463281     1.18977    0.467116
           4    0.463498     1.19945    0.408642
           5    0.433691     1.19886    0.365154
           6     0.47406      1.2056    0.335726
           7    0.454874      1.2098    0.311893
           8    0.418119     1.20674    0.290678
           9    0.464105     1.20944     0.27485
          10    0.444831     1.20877    0.260639
          11    0.430849     1.20736    0.248134
          12     0.44056     1.20715    0.237514
          13    0.452319     1.20773     0.22836
          14    0.444735      1.2079    0.220086
          15    0.470471     1.20941    0.213006
          16    0.412885     1.20732    0.205752
          17    0.402649     1.20568    0.199154
          18    0.437329     1.20516    0.193459
          19    0.442469     1.20547    0.188347
          20    0.442689     1.20564    0.183607
