#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     19.1151     19.1151           0
           2     16.8778     17.9964    0.791017
           3     19.9001      18.631    0.739285
           4     20.8875     19.1951    0.738992
           5     18.7517     19.1065    0.596491
           6     20.1851     19.2862    0.523467
           7       22.84     19.7939    0.649797
           8     18.1608     19.5898    0.599781
           9     20.9177     19.7373    0.550989
          10     18.0706     19.5707    0.520489
          11     18.9402     19.5133    0.476317
          12     19.4104     19.5048    0.436701
          13     20.0511     19.5468    0.405126
          14     20.7835     19.6351    0.385699
          15     20.8878     19.7186    0.368915
          16     18.7562     19.6585    0.350728
          17     20.0607     19.6821    0.330894
          18     18.7238     19.6289    0.316766
          19     20.3944     19.6692    0.302645
          20     19.2948     19.6505    0.288091
