#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.40228     2.40228           0
           2      2.4294     2.41584  0.00958837
           3     2.51054     2.44741   0.0265553
           4     2.49327     2.45887   0.0222542
           5     2.40266     2.44763   0.0204469
           6     2.50602     2.45736   0.0192159
           7     2.60372     2.47827   0.0254159
           8     2.53679     2.48559   0.0232679
           9      2.4689     2.48373   0.0207564
          10     2.54165     2.48952   0.0194721
          11     2.67788     2.50665   0.0240811
          12      2.4765     2.50414    0.022205
          13      2.5422     2.50706   0.0206891
          14     2.47458     2.50474   0.0193409
          15     2.53824     2.50698     0.01818
          16     2.56498      2.5106   0.0174014
          17     2.47662      2.5086   0.0164922
          18     2.42815     2.50413   0.0161702
          19     2.52971     2.50548   0.0153751
          20     2.58241     2.50933   0.0150798
