#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582528   -0.582528           0
           2   -0.581632    -0.58208 0.000316784
           3   -0.581224   -0.581795 0.000314448
           4   -0.580192   -0.581394 0.000419546
           5     -0.5816   -0.581435 0.000337654
           6   -0.582288   -0.581577 0.000309853
           7   -0.583488    -0.58185 0.000366601
           8   -0.584704   -0.582207 0.000462857
           9   -0.582792   -0.582272 0.000415968
          10   -0.580848    -0.58213 0.000397999
          11   -0.584736   -0.582367 0.000426557
          12   -0.580688   -0.582227  0.00041331
          13   -0.582064   -0.582214 0.000381706
          14   -0.585368   -0.582439 0.000415635
          15    -0.58392   -0.582538 0.000399474
          16   -0.583264   -0.582584 0.000377075
          17    -0.58384   -0.582657 0.000362065
          18   -0.581192   -0.582576 0.000350984
          19   -0.581704    -0.58253 0.000335498
          20   -0.580664   -0.582437 0.000331444
