#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.290603    0.643019           0
           2    0.291596    0.643016    0.320066
           3     0.29773    0.644994    0.262231
           4    0.288355    0.643234    0.226449
           5    0.297657    0.644449    0.202956
           6    0.297299     0.64533    0.185541
           7    0.297472    0.646185    0.172011
           8    0.287949     0.64576    0.160767
           9    0.295741    0.646087    0.151653
          10    0.297428    0.646298    0.143929
          11    0.301738    0.647292    0.137449
          12    0.296238    0.647248    0.131594
          13    0.299169     0.64757    0.126501
          14     0.29105    0.647515    0.121879
          15    0.290844     0.64734    0.117708
          16    0.290878    0.647142    0.113931
          17    0.291868    0.647067    0.110513
          18    0.293266     0.64691    0.107374
          19    0.298154     0.64707     0.10454
          20    0.291681    0.646816    0.101852
