0.291406 0.653132
0.188952 0.721523
0.218301 0.984996
0.291358 0.850091
0.477769 0.860135
0.720352 0.955922
0.751112 0.944134
0.992553 0.836406
0.641087 0.754219
0.536066 0.662665
0.502093 0.68221
0.483648 0.670004
0.465199 0.592063
0.490305 0.55131
0.702778 0.588825
0.766677 0.541364
0.806946 0.341078
0.909396 0.21809
0.86233 0.179595
0.828356 0.18193
0.745712 0.179257
0.633504 0.308934
0.430666 0.204947
0.39264 0.104674
0.241215 0.0966708
0.181476 0.0652981
0.165591 0.0846375
0.0617144 0.234142
0.199571 0.187778
0.379807 0.417935
0.458467 0.450093
0.413489 0.503255
0.248142 0.524745
0.250821 0.547727
0.291406 0.653132
