#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.367356    0.367356           0
           2     0.35088    0.359118  0.00582515
           3    0.307824     0.34202   0.0144905
           4    0.283224    0.327321   0.0167379
           5     0.29402    0.320661   0.0146556
           6    0.405252    0.334759   0.0177425
           7    0.247028    0.322226    0.019129
           8     0.36622    0.327726   0.0175105
           9     0.42142    0.338136   0.0184011
          10    0.436344    0.347957   0.0190019
          11     0.44726    0.356984   0.0193001
          12    0.355612     0.35687   0.0176921
          13    0.385144    0.359045   0.0164643
          14    0.364604    0.359442   0.0152931
          15    0.320276    0.356831   0.0144947
          16    0.333216    0.355355   0.0136637
          17    0.334964    0.354156   0.0129125
          18    0.407992    0.357146   0.0125368
          19    0.440252     0.36152   0.0126169
          20    0.338892    0.360389   0.0120367
