#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.537309     1.32275           0
           2    0.475274      1.2938    0.631052
           3    0.531625     1.30145    0.519331
           4     0.50245     1.29872    0.448551
           5     0.51354     1.29905    0.401363
           6      0.6162     1.31826    0.372672
           7     0.49958     1.31451    0.343778
           8    0.534313     1.31669    0.322178
           9     0.49709     1.31514     0.30315
          10    0.483056     1.31134    0.286527
          11     0.53815     1.31418    0.273857
          12    0.507839     1.31347    0.262003
          13    0.538434     1.31482    0.252071
          14    0.545069     1.31633    0.243276
          15    0.513865     1.31551     0.23487
          16    0.487981     1.31313    0.226911
          17    0.479206     1.31105    0.219666
          18    0.547366     1.31268    0.213816
          19    0.540545     1.31473    0.208463
          20    0.526366     1.31413    0.203133
